File,Reading.level,Lexical.density,Mean.frequency.Zipf-value,Sd.frequency.Zipf-value,Mean.frequency.Lg10WF,Sd.frequency.Lg10WF,TTR
A24L3,Level3,0.5344352617079889,5.790364795526714,1.267311005520681,4.4985284210526295,1.2673064676812906,0.4641873278236915
A19L3,Level3,0.5275813295615276,5.767869883468578,1.2633947155714333,4.4760319054652795,1.2633916349165129,0.4639321074964639
A21L3,Level3,0.5761363636363637,5.512635768656716,1.3735778466422235,4.220797002398076,1.373573979924033,0.45340909090909093
A16L3,Level3,0.5667396061269147,5.562290709756973,1.4203078887690184,4.270454200230149,1.4203021404670855,0.42560175054704596
A17L3,Level3,0.5136986301369864,5.8100887413134235,1.3464764731551582,4.518246715328455,1.3464746432707015,0.4246575342465753
A26L3,Level3,0.5402439024390244,5.617220460938238,1.4328061580343678,4.325381395348838,1.4328030171065307,0.4585365853658537
A29L3,Level3,0.5626373626373626,5.422800991783453,1.5220851267785718,4.1309629161882855,1.522078404584997,0.4087912087912088
A8L3,Level3,0.5893886966551326,5.53969344633974,1.3869699701998173,4.247855380894794,1.3869682122332625,0.4659746251441753
A30L3,Level3,0.5445205479452054,5.686515348153862,1.361203653141268,4.394675768321511,1.3611982981010706,0.4349315068493151
A28L3,Level3,0.5637319316688568,5.5528359517515264,1.4058261925560578,4.260994796061881,1.405821904705819,0.545335085413929
A11L5,Level5,0.5782997762863534,5.496404209143639,1.4082182215940362,4.204566430260042,1.408213797800303,0.47651006711409394
A2L5,Level5,0.5310853530031612,5.604693813414869,1.422824827512649,4.312858216971002,1.422818891453947,0.43308746048472074
A4L5,Level5,0.5350624399615754,5.487290589224799,1.475477834260005,4.1954541052631535,1.4754721298618068,0.4217098943323727
A9L5,Level5,0.5703517587939698,5.569067859958103,1.4801824425999055,4.277230109489052,1.480175577727179,0.44221105527638194
A25L5,Level5,0.5539488320355951,5.540010077585083,1.4343255947212,4.2481709753231485,1.4343195342521682,0.489432703003337
A13L5,Level5,0.5271210013908206,5.683916269604053,1.36258631691049,4.392078038067349,1.3625811524238864,0.4631432545201669
A14L5,Level5,0.5151515151515151,5.5834692185823585,1.482531938198391,4.291632339449539,1.4825249095823456,0.4448051948051948
A16L5,Level5,0.5607321131447587,5.551037659006562,1.4729973737087478,4.259200179051024,1.4729915751934348,0.46089850249584025
A21L5,Level5,0.5649253731343283,5.479287395222533,1.4262681161598474,4.187449121405747,1.426262983568581,0.4305970149253731
A12L5,Level5,0.5797950219619327,5.447858458751678,1.4610173697285151,4.156021582181271,1.4610167608086166,0.4333821376281113
A26L5,Level5,0.5387647831800263,5.656349321252787,1.4443292366105656,4.364509950946037,1.444325668651612,0.41130091984231276
A30L5,Level5,0.5094527363184079,5.727547764334623,1.4166707054592986,4.435708203530628,1.4166645684445491,0.43582089552238806
A5L5,Level5,0.5729402872260015,5.4773667374539246,1.4172299107641428,4.185527667984187,1.4172249458779196,0.46787603930461075
A27L5,Level5,0.587917042380523,5.4220451644944365,1.4896262210902311,4.1302063157894695,1.489623181168307,0.4842200180342651
A29L5,Level5,0.5739268680445151,5.245768577882246,1.6375941473531168,3.9539300338409444,1.6375884587940477,0.43402225755166934
A6L5,Level5,0.5827814569536424,5.479186546030417,1.5354344242221045,4.187345777233776,1.5354283720078328,0.49337748344370863
A10L5,Level5,0.5555555555555556,5.617813866183523,1.4289468349986971,4.325975804195803,1.4289421793033423,0.4974160206718346
A28L5,Level5,0.5777511961722488,5.41388502048948,1.5142217777662001,4.122044993498039,1.5142176647216339,0.5717703349282297
A23L5,Level5,0.5690021231422505,5.402799704426518,1.434464333311591,4.110962788018428,1.4344627627942732,0.49044585987261147
A1L5,Level5,0.5759562841530055,5.473878858279408,1.4966598414881596,4.182043246311007,1.4966546788870965,0.45027322404371584
A24L5,Level5,0.5434210526315789,5.634171287625188,1.457328572236923,4.34233592375366,1.4573238425408162,0.5078947368421053
A8L5,Level5,0.5423728813559322,5.581512179118606,1.4580426291628872,4.28967367668096,1.4580407134123612,0.42983050847457627
A19L5,Level5,0.5406032482598608,5.643135916643112,1.3729087659936838,4.351297473512632,1.3729059242733213,0.45552977571539055
A7L5,Level5,0.5413694721825963,5.497481338062921,1.4859177520478841,4.205643024162114,1.48591395157225,0.4065620542082739
A17L5,Level5,0.5,5.84474021992602,1.367239717686546,4.552897636815913,1.3672372289605084,0.42074592074592077
A3L5,Level5,0.5355696934644303,5.611886938075165,1.4540926282002509,4.320048383005706,1.4540889357469673,0.4123770965876229
A15L5,Level5,0.5922330097087378,5.516404512361674,1.4135668932284766,4.2245678236397755,1.4135628624785548,0.46954986760812
A18L5,Level5,0.5451086956521739,5.469032034202317,1.5397560558731993,4.177192459396752,1.5397510743318272,0.4190217391304348
A20L5,Level5,0.5678866587957497,5.546714242158663,1.4443906256302796,4.25487522816166,1.4443848970706195,0.5312868949232585
A22L5,Level5,0.5667600373482726,5.395188981997937,1.4893276543178093,4.103351356783915,1.4893235075214344,0.43977591036414565
A12L2,Level2,0.5753424657534246,5.63724883800316,1.2906193535096253,4.345410375670837,1.2906192575436162,0.4315068493150685
A20L2,Level2,0.5427574171029669,5.83060825899451,1.2088367646920093,4.538770280373826,1.208832192800303,0.462478184991274
A23L2,Level2,0.5472560975609756,5.6233522408812,1.3573103717481978,4.331513976705487,1.3573076931489008,0.45121951219512196
A14L2,Level2,0.5308441558441559,5.66894540729511,1.3106631258535761,4.377109844559585,1.310655438671289,0.42045454545454547
A1L2,Level2,0.5471976401179941,5.737393418840471,1.3300029861645364,4.445555436447163,1.3299975248357494,0.4174041297935103
A18L2,Level2,0.5232722143864598,5.6423381285271565,1.4152161560992,4.35049805389221,1.4152086322079347,0.4414668547249647
A17L2,Level2,0.5124113475177305,5.818537043196014,1.3625971012609672,4.526694161958567,1.362595098118297,0.4326241134751773
A16L2,Level2,0.5447761194029851,5.645126655042388,1.347551455112711,4.353289692307692,1.3475438444477923,0.44328358208955226
A25L2,Level2,0.5491923641703378,5.710084072169915,1.2610721250677368,4.418243034055719,1.2610632889986704,0.44933920704845814
A24L2,Level2,0.535,5.937617559997223,1.145633120006905,4.645778688524589,1.1456281973955866,0.45166666666666666
A26L2,Level2,0.5454545454545454,5.6453718047086285,1.4053600219392473,4.353533798449617,1.4053572576567008,0.4560117302052786
A21L2,Level2,0.590728476821192,5.556068071117888,1.3231660172450097,4.264229103448268,1.323163696222529,0.4463576158940397
A11L2,Level2,0.5597920277296361,5.7183321619534615,1.2742372528365058,4.42649175824176,1.2742330298873448,0.44020797227036396
A9L2,Level2,0.5746527777777778,5.8265536167684004,1.2633583986676202,4.534715055762083,1.2633524939885163,0.4496527777777778
A30L2,Level2,0.5369532428355958,5.774126880901523,1.2571773172257232,4.482287460815048,1.2571719223770874,0.42684766214177977
A10L2,Level2,0.5306479859894921,5.750481661935433,1.2740709412255813,4.458641431261771,1.2740640263267276,0.436077057793345
A27L2,Level2,0.5738341968911918,5.692139872699625,1.2351306773315525,4.400300672947503,1.2351289694864616,0.3963730569948187
A2L2,Level2,0.5153538050734312,5.865902931649428,1.168860728675755,4.574067654986525,1.1688561994379727,0.3965287049399199
A7L2,Level2,0.5411471321695761,5.7602566233233246,1.2716053318744662,4.46842077922078,1.2716016374837447,0.44389027431421446
A6L2,Level2,0.5775127768313458,5.6993275766011005,1.3956347815729162,4.407487258687255,1.3956246742938772,0.46337308347529815
A28L2,Level2,0.5629139072847682,5.710111774235018,1.2821204162100088,4.418270921985813,1.2821173875394813,0.5132450331125827
A13L2,Level2,0.5509181969949917,5.7331701234377075,1.2540968943780828,4.441332456140352,1.2540923302907037,0.39065108514190316
A3L2,Level2,0.5377207062600321,5.76690008780234,1.2838490863475454,4.475061111111109,1.283846874492269,0.45585874799357945
A8L2,Level2,0.5873493975903614,5.773001975607665,1.1562541236575825,4.481162090483617,1.1562564584354256,0.4036144578313253
A29L2,Level2,0.5631720430107527,5.544285953639176,1.4442464989070256,4.252447214484673,1.4442394419925682,0.3978494623655914
A4L2,Level2,0.5484848484848485,5.6367111231371085,1.2996368530340423,4.344873709677415,1.2996291500577335,0.42424242424242425
A15L2,Level2,0.5636094674556213,5.7818659199475615,1.217210850177066,4.490028278041077,1.2172070375775497,0.4467455621301775
A5L2,Level2,0.5936305732484076,5.5745902894434245,1.3280794890406904,4.282750925925921,1.3280742528054488,0.4751592356687898
A22L2,Level2,0.5543478260869565,5.728780694153847,1.2344882106981607,4.4369427767354646,1.234486143521014,0.3677536231884058
A19L2,Level2,0.5588235294117647,5.807621176201423,1.207410324663243,4.515781653225803,1.2074087073809614,0.4764705882352941
