File,N.Sentences,N.Words,N.Syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
11909,63,958,1446,15.206349206349206,1.5093945720250521,8.151332140371803
1837,38,747,1235,19.657894736842106,1.6532797858099062,11.585280419925315
13920,50,1013,1620,20.26,1.5992102665350445,11.182081145113525
729,58,1209,1878,20.844827586206897,1.553349875930521,10.869011294600838
11253,15,473,781,31.533333333333335,1.6511627906976745,16.191720930232563
381,36,613,847,17.02777777777778,1.3817292006525286,7.3552379010331705
5808,39,686,1030,17.58974358974359,1.501457725947522,8.987201166180764
4765,63,855,1211,13.571428571428571,1.416374269005848,6.416073517126154
8612,49,1066,1589,21.755102040816325,1.4906191369606003,10.483795612053452
4589,44,464,634,10.545454545454545,1.3663793103448276,4.646003134796242
13536,55,696,942,12.654545454545454,1.353448275862069,5.315962382445143
199,43,1122,2024,26.093023255813954,1.803921568627451,15.872553579571367
3815,63,640,923,10.158730158730158,1.4421875,5.389717261904764
13562,117,1728,2575,14.76923076923077,1.490162037037037,7.75391203703704
10827,49,815,1115,16.632653061224488,1.3680981595092025,7.040292976086143
5014,61,706,1006,11.573770491803279,1.424929178470255,5.737934797752288
10194,29,704,1157,24.275862068965516,1.6434659090909092,13.270483934169281
6175,50,987,1458,19.74,1.4772036474164134,9.539603039513679
13707,24,455,707,18.958333333333332,1.5538461538461539,10.139134615384616
8667,58,581,896,10.017241379310345,1.5421686746987953,6.51431449937682
6614,35,605,970,17.285714285714285,1.603305785123967,10.070436835891382
519,52,422,584,8.115384615384615,1.3838862559241707,3.9048578199052137
8642,43,436,619,10.13953488372093,1.4197247706422018,5.117170898229144
14194,51,739,1148,14.490196078431373,1.5534506089309879,8.391893655973895
11322,52,853,1298,16.403846153846153,1.5216881594372802,8.76342028135991
12730,46,439,635,9.543478260869565,1.4464692482915718,5.200293651579678
5825,64,1111,1652,17.359375,1.486948694869487,8.726150849459948
12158,48,829,1317,17.270833333333332,1.5886610373944512,9.891825241254523
8155,62,664,977,10.709677419354838,1.4713855421686748,5.9491235911387506
12871,68,1263,1933,18.573529411764707,1.5304829770387964,9.713375599646032
8772,60,800,1189,13.333333333333334,1.48625,7.147750000000002
11373,52,1029,1659,19.78846153846154,1.6122448979591837,11.151989795918372
8269,45,754,1141,16.755555555555556,1.513262599469496,8.801165340406719
12988,60,713,982,11.883333333333333,1.3772791023842916,5.296393408134641
8509,57,840,1190,14.736842105263158,1.4166666666666667,6.8740350877192995
13406,36,725,1196,20.13888888888889,1.6496551724137931,11.730097701149429
11427,53,602,921,11.358490566037736,1.5299003322259137,6.8926352410205
10106,53,1026,1670,19.358490566037737,1.6276803118908383,11.16643900106661
8285,27,542,863,20.074074074074073,1.5922509225092252,11.02744977449775
7656,65,672,909,10.338461538461539,1.3526785714285714,4.403607142857144
6761,64,984,1452,15.375,1.475609756097561,7.818445121951221
6039,51,571,820,11.196078431372548,1.436077057793345,5.7221798701967685
1505,52,780,1174,15.0,1.505128205128205,8.020512820512824
6280,53,811,1152,15.30188679245283,1.4204685573366214,7.139264825628739
11758,63,961,1377,15.253968253968255,1.4328824141519252,7.267060106040336
5528,43,441,592,10.255813953488373,1.342403628117914,4.25013025365185
12762,50,432,680,8.64,1.5740740740740742,6.353674074074075
11320,42,828,1277,19.714285714285715,1.5422705314009661,10.297363699102831
5845,46,870,1275,18.91304347826087,1.4655172413793103,9.0791904047976
5717,50,549,853,10.98,1.5537340619307833,7.026261930783246
10545,52,557,833,10.711538461538462,1.4955116696588868,6.234537701974869
9983,53,630,838,11.88679245283019,1.33015873015873,4.74172207247679
3473,45,516,786,11.466666666666667,1.5232558139534884,6.856418604651164
9914,42,1069,1836,25.452380952380953,1.7174929840972872,14.602845783776562
7095,44,535,769,12.159090909090908,1.4373831775700934,6.113166949872557
11891,53,888,1249,16.754716981132077,1.4065315315315314,7.5414116947135845
8979,42,925,1486,22.023809523809526,1.6064864864864865,11.955826254826256
8009,44,560,798,12.727272727272727,1.425,6.188636363636366
11679,38,301,386,7.921052631578948,1.282392026578073,2.631436439937051
2626,50,1099,1677,21.98,1.5259326660600545,10.988205459508645
11953,29,617,970,21.275862068965516,1.5721231766612642,11.258639691499472
331,40,929,1494,23.225,1.6081808396124866,12.444283907427344
10766,41,478,688,11.658536585365853,1.4393305439330544,5.940929686702727
13338,52,565,806,10.865384615384615,1.4265486725663716,5.480774336283186
6640,50,1036,1642,20.72,1.584942084942085,11.193116602316604
12790,46,669,880,14.543478260869565,1.3153961136023917,5.603630662247355
7533,50,937,1428,18.74,1.5240128068303096,9.701951120597652
13549,64,817,1201,12.765625,1.4700122399020807,6.734738180844555
10407,62,827,1355,13.338709677419354,1.6384522370012091,8.94583317080782
1852,52,1029,1583,19.78846153846154,1.5383867832847424,10.280464042759963
974,38,911,1377,23.973684210526315,1.5115257958287596,11.595741232884631
4011,53,970,1514,18.30188679245283,1.5608247422680412,9.965467807819493
5502,56,992,1610,17.714285714285715,1.622983870967742,10.469781105990787
11441,37,604,990,16.324324324324323,1.6390728476821192,10.117546089135494
5371,61,685,1021,11.229508196721312,1.4905109489051094,6.377537393801603
8847,54,894,1371,16.555555555555557,1.5335570469798658,8.962639821029086
5810,55,756,1133,13.745454545454546,1.4986772486772486,7.455118807118808
6784,50,695,1009,13.9,1.451798561151079,6.962223021582734
1666,58,652,1010,11.241379310344827,1.549079754601227,7.073279035328962
11663,28,686,1019,24.5,1.4854227405247813,11.492988338192418
14429,52,1029,1479,19.78846153846154,1.4373177842565599,9.087849854227407
